requirement_id,source_section,requirement_text,status,implementation_evidence,test_evidence,gap
REQ-01,item 1,Initialize Git repository,NOT_APPLICABLE,Rebase spec did not require git init as an architecture requirement -- source control is an environment concern outside this Rebase's file-based verification model,N/A,
REQ-02,item 2,Package manager lockfile,PASS,package.json + package-lock.json exist in the workspace root,npm test runs successfully via these files,
REQ-03,item 3,CURRENT_BEHAVIOR_BASELINE before formula changes,PASS,RE-GOLD-baseline.json + 4/4 characterization fixtures established before any engine extraction began (Wave A),run_all.js proves baseline preserved throughout,
REQ-04,item 4,Convert RE-GOLD to executable characterization tests,PASS,tests/characterization/run_all.js + 4 fixture files,"exit 0, 204/204 fields, 0 mismatches",
REQ-05,item 5,Prove tests pass against legacy implementation,PASS,tests/characterization/run_dual_path.js,0 legacy-vs-modular mismatches,
REQ-06,item 6,Split single JSX into /src module tree,PASS,"src/engines, src/contracts, src/modules, src/registries, src/i18n, src/migrations, src/components all populated with real content",13 test scripts execute against this tree,
REQ-07,item 7,Move calculations out of React components,PASS,"src/app/App.jsx: 6 calculation function bodies removed, replaced by calculateInvestmentCase() calls (REBASE_APP_DIFF_AUDIT.md)",run_ui_path.js: 0/204 mismatches,
REQ-08,item 8,Typed engine contracts + deterministic outputs,PARTIAL,10 JS/JSDoc contracts exist (src/contracts/); NOT TypeScript-enforced (no compile-time type checking),"run_result_contract_path.js: 77/77 fields mapped, 0 value mismatches","no compiler-enforced typing -- JSDoc/runtime contracts only, as explicitly permitted by Wave B3 Section 2 ('Do NOT introduce TypeScript merely for appearance')"
REQ-09,item 9,Preserve current visual behavior and computed baseline,PASS,App.jsx JSX/layout untouched outside the 3 documented diff hunks,run_ui_path.js + REBASE_APP_DIFF_AUDIT.md,
REQ-10,item 10,ExecutableInvestmentCase/StudyDefinition contracts,PASS,src/contracts/executable-investment-case.js (20 fields) + 2 StudyDefinitions,run_investment_case_path.js + run_study_definition_path.js: 0 mismatches,
REQ-11,item 11,Versioned InvestmentCase persistence contract,PASS,src/contracts/calculation-versions.js (6 fields) integrated into every InvestmentCase,run_investment_case_path.js confirms versions field present,
REQ-12,item 12,ar-SA/en translation architecture,PASS,"src/i18n/{ar-SA,en}.json + loader, one financial engine, locale never reaches calculation","run_locale_invariance.js: 0 financial mismatches, RTL/LTR correct",
