id,wave_id,study_type,component,source_file,source_location,field_name,presentation_property,current_text,string_type,raw_semantic,unit,conditional,dictionary_key,ar-SA,en,implementation_status
IN-B-001,R5-A,building,Section,App.jsx,903,-,eyebrow+title,القسم الأول / الأرض والمبنى,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-002,R5-A,building,Section,App.jsx,926,-,eyebrow+title,القسم الثاني / تكلفة الشراء,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-003,R5-A,building,Section,App.jsx,934,-,eyebrow+title,القسم الثالث / الدخل التأجيري,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-004,R5-A,building,Section,App.jsx,949,-,eyebrow+title,القسم الرابع / المصروفات التشغيلية,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-005,R5-A,building,Section,App.jsx,954,-,eyebrow+title,القسم الخامس / افتراضات التقييم والاستثمار,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-006,R5-A,building,Section,App.jsx,966,-,eyebrow+title,القسم السادس / معايير التوصية,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5A
FIN-B-007,R5-D,building,Section,App.jsx,971,-,eyebrow+title,القسم السابع / التمويل العقاري (اختياري),STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5D
IN-B-008,R5-A,building,Section,App.jsx,986,-,eyebrow+title,القسم الثامن / المخاطر التنظيمية والقانونية (نوعي),STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-L-009,R5-B,land,Section,App.jsx,1008,-,eyebrow+title,القسم الأول / الأرض,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5B
IN-L-010,R5-B,land,Section,App.jsx,1014,-,eyebrow+title,القسم الثاني / مخطط التطوير,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5B
IN-L-011,R5-B,land,Section,App.jsx,1022,-,eyebrow+title,القسم الثالث / تكلفة الإنشاء,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5B
IN-L-012,R5-B,land,Section,App.jsx,1032,-,eyebrow+title,القسم الرابع / تكاليف الشراء الإضافية,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5B
IN-L-013,R5-B,land,Section,App.jsx,1039,-,eyebrow+title,القسم الخامس / الإيرادات والتشغيل,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5B
IN-L-014,R5-B,land,Section,App.jsx,1046,-,eyebrow+title,القسم السادس / التوقيت والعائد,STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5B
FIN-L-015,R5-D,land,Section,App.jsx,1065,-,eyebrow+title,القسم السابع / التمويل العقاري (اختياري),STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5D
IN-L-016,R5-B,land,Section,App.jsx,1080,-,eyebrow+title,القسم الثامن / المخاطر التنظيمية والقانونية (نوعي),STATIC_PRESENTATION,,,False,TBD,TBD,TBD,LOCALIZED_R5B
IN-B-017,R5-A,building,NumField,App.jsx,904,landLength,label,طول الأرض,STATIC_PRESENTATION,,متر طولي,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-018,R5-A,building,NumField,App.jsx,905,landWidth,label,عرض الأرض,STATIC_PRESENTATION,,متر طولي,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-019,R5-A,building,NumField,App.jsx,906,buildingAge,label,عمر المبنى الحالي,STATIC_PRESENTATION,,سنة,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-020,R5-A,building,NumField,App.jsx,908,basementCount,label,عدد الأقبية,STATIC_PRESENTATION,,قبو,False,TBD,TBD,TBD,LOCALIZED_R5A
IN-B-021,R5-A,building,NumField,App.jsx,909,basementAreaEach,label,مساحة القبو الواحد,STATIC_PRESENTATION,,م²,False,TBD,TBD,TBD,LOCALIZED_R5A
