requirement_id,directive_area,requirement,baseline_disposition,target_owner,rule_or_gate,test_obligation,release_status
W7-STD-001,Standards Registry,"Maintain governed standard/version/status/effective/source/review metadata",GAP,"Standards Registry","STANDARD_SOURCE_UNVERIFIED / STANDARD_VERSION_UNVERIFIED","Registry schema + status enum tests",HOLD_UNTIL_IMPLEMENTED
W7-STD-002,Standards Rules,"Separate executable StandardRule from bibliographic Standard",GAP,"Standards Rule Engine","STANDARD_RULE_UNAPPROVED","Rule schema + deterministic evaluator tests",HOLD_UNTIL_IMPLEMENTED
W7-STD-003,Draft isolation,"DRAFT standards cannot alter production conclusion/calculation/report approval",GAP,"Standards Rule Engine","DRAFT_NON_ENFORCEMENT","Same-input regression with newer DRAFT",HOLD_UNTIL_IMPLEMENTED
W7-STD-004,Future isolation,"FUTURE standards cannot apply before effective date or auto-activate",GAP,"Standards Lifecycle","FUTURE_NON_ENFORCEMENT","Before/after date without approval tests",HOLD_UNTIL_IMPLEMENTED
W7-STD-005,Activation,"Activation requires source/review/impact/code/tests/release approval",GAP,"Standards Lifecycle","STANDARD_RULE_UNAPPROVED","Forbidden automatic activation tests",HOLD_UNTIL_IMPLEMENTED
W7-STD-006,Historical reproducibility,"Bind immutable standards snapshot to case/report",PARTIAL_AUDIT_REQUIRED,"Persistence + Standards","STANDARD_SNAPSHOT_MISSING","Historical load/reproduce tests",HOLD_UNTIL_IMPLEMENTED
W7-STD-007,Snapshot integrity,"Use immutable snapshot hash in addition to version",GAP,"Persistence + Standards","STANDARD_SNAPSHOT_HASH_MISMATCH","Hash stability/change tests",HOLD_UNTIL_IMPLEMENTED
W7-STD-008,Temporal rules,"Support rule-specific applicability date basis",GAP,"Purpose Router","STANDARD_RULESET_CONFLICT","valuation/report/engagement date routing tests",HOLD_UNTIL_IMPLEMENTED
W7-ROU-001,Purpose Router,"Route by jurisdiction purpose use user asset framework regulated status transaction and finance context",GAP,"Purpose Router","VALUATION_SCOPE_INCOMPLETE","Router table tests",HOLD_UNTIL_IMPLEMENTED
W7-ROU-002,Conflicts,"Material unresolved standards conflict fails closed to review",GAP,"Purpose Router","STANDARD_RULESET_CONFLICT","Conflict resolution/hold tests",HOLD_UNTIL_IMPLEMENTED
W7-ASG-001,Assignment,"Capture client users purpose asset rights basis dates scope assumptions reliance limits conflicts independence competence reviewer",GAP,"Engagement","VALUATION_SCOPE_INCOMPLETE","Required-field contract tests",HOLD_UNTIL_IMPLEMENTED
W7-ASG-002,Assignment lifecycle,"Use explicit fail-closed assignment acceptance state machine",GAP,"Engagement Workflow","VALUATION_SCOPE_INCOMPLETE","Allowed/forbidden transition tests",HOLD_UNTIL_IMPLEMENTED
W7-ASG-003,Conflict check,"Support CLEAR DISCLOSURE_REQUIRED REVIEW_REQUIRED CANNOT_PROCEED",GAP,"Engagement Workflow","CONFLICT_REVIEW_REQUIRED","State transition tests",HOLD_UNTIL_IMPLEMENTED
W7-ASG-004,Competence,"Require specialist/professional review when competence gate requires it",GAP,"Engagement Workflow","PROFESSIONAL_REVIEW_REQUIRED","Specialized-asset transition tests",HOLD_UNTIL_IMPLEMENTED
W7-DOM-001,Canonical model,"Represent engagement property interests documents evidence inspection measurements comparables leases valuation runs assumptions reviews reports audit",PARTIAL_AUDIT_REQUIRED,"Canonical Domain Model","DOMAIN_SCHEMA_INCOMPLETE","Schema/serialization tests",HOLD_UNTIL_IMPLEMENTED
W7-DOM-002,Data classification,"Keep FACT ASSUMPTION DERIVED PROFESSIONAL_JUDGMENT distinct",GAP,"Canonical Domain Model","DATA_CLASSIFICATION_REQUIRED","Classification persistence tests",HOLD_UNTIL_IMPLEMENTED
W7-DOM-003,Property interests,"Represent valued interest using PropertyInterestGraph",GAP,"Property Rights","PROPERTY_INTEREST_INCOMPLETE","Graph integrity + valued-interest tests",HOLD_UNTIL_IMPLEMENTED
W7-EVD-001,Document evidence,"Preserve document hash locator extraction method model version confidence verifier",PARTIAL_REUSE_CONFIRMED,"Existing Document Intelligence extension","EVIDENCE_INSUFFICIENT","Existing evidence regression + new chain-of-custody tests",QUALIFICATION_REQUIRED
W7-EVD-002,Evidence lifecycle,"Document != extracted evidence != verified fact != qualified input",REUSE_CONFIRMED,"Existing Evidence Controls","EVIDENCE_INSUFFICIENT","Regression of promotion boundaries",QUALIFICATION_REQUIRED
W7-EVD-003,Bitemporal evidence,"Preserve valid time separately from recorded/superseded system time",GAP,"Evidence Model","EVIDENCE_TEMPORAL_CONFLICT","Historical evidence reconstruction tests",HOLD_UNTIL_IMPLEMENTED
W7-INSP-001,Inspection,"Capture GPS photos timestamps device/EXIF hashes measurements condition defects occupancy MEP surroundings",GAP,"Inspection","INSPECTION_EVIDENCE_INCOMPLETE","Inspection evidence integrity tests",HOLD_UNTIL_IMPLEMENTED
W7-MEA-001,Measurement,"Support land GFA BUA NLA GLA rentable/common with standard/source",GAP,"Measurement","MEASUREMENT_SCOPE_INCOMPLETE","Unit/standard/source validation tests",HOLD_UNTIL_IMPLEMENTED
W7-PROP-001,Property conflicts,"Material deed/registry/license/plan/inspection conflicts block dependent conclusions",PARTIAL_AUDIT_REQUIRED,"Property Evidence","MATERIAL_PROPERTY_DATA_CONFLICT","Conflict reachability tests",HOLD_UNTIL_IMPLEMENTED
W7-MKT-001,Comparable evidence,"Evidence hierarchy + verification + duplicate/outlier/stale/abnormal controls",PARTIAL_AUDIT_REQUIRED,"Market Evidence","COMPARABLE_EVIDENCE_INSUFFICIENT","Qualification/rejection tests",HOLD_UNTIL_IMPLEMENTED
W7-MKT-002,Adjustments,"Comparable adjustments preserve factor direction magnitude rationale evidence confidence reviewer",GAP,"Market Evidence","COMPARABLE_ADJUSTMENT_UNSUPPORTED","Adjustment provenance tests",HOLD_UNTIL_IMPLEMENTED
