id,stage,control,acceptance_criterion,expected_fail_closed_behavior,evidence_of_pass
PILOT-001,SCOPE,Case isolation,"All material records carry matching caseId/projectId","Reject mixed-scope payload with explicit scope mismatch","Automated test + audit record"
PILOT-002,INGESTION,Document identity,"Every ingested document has immutable content hash and source identity","Reject/hold malformed intake; detect same-case duplicates","Document intake test"
PILOT-003,EVIDENCE,Source locator,"Every material extracted fact includes page/cell/section/document locator","Do not promote locator-less material extraction","Evidence contract test"
PILOT-004,EVIDENCE,Authority separation,"Uploaded location/filename never grants authority","Remain extracted/unverified until explicit verification","Verification-state test"
PILOT-005,EVIDENCE,Conflict handling,"Material conflicting sources remain visible","HOLD evidence readiness; no automatic winner","Reconciliation test"
PILOT-006,EVIDENCE,Unit integrity,"Mismatched units are not silently converted","HOLD with UNIT_MISMATCH unless explicit conversion policy exists","Normalization/reconciliation test"
PILOT-007,PROPERTY,Canonical mapping,"Property fields map only through approved canonical adapter","Reject unknown/unmapped material fields","Adapter validation test"
PILOT-008,TENANT,Lease economics,"Rent and lease terms retain executed-source traceability","HOLD material lease economics lacking required evidence","Tenant stage test"
PILOT-009,REGULATORY,Regulatory freshness,"Material regulatory facts include effective date/source","HOLD stale or scope-mismatched regulatory evidence","Regulatory stage test"
PILOT-010,VALUATION,Critical evidence,"Valuation methods satisfy configured Critical Evidence Requirements","Method/stage HOLD_EVIDENCE","Valuation orchestrator test"
PILOT-011,VALUATION,Reconciliation,"Two or more qualified methods require explicit reconciliation policy","HOLD_POLICY or reconciliation hold","Valuation reconciliation test"
PILOT-012,FINANCIAL,Deterministic ownership,"IRR/NPV/DSCR and core metrics are generated only by governed engine","Reject AI/spreadsheet direct authoritative metric writes","Financial engine contract test"
PILOT-013,SPREADSHEET,Import diff,"Workbook import produces explicit proposed diff before canonical write","No canonical write without validation/approval","Spreadsheet adapter test"
PILOT-014,SPREADSHEET,Units and mapping,"Cell/range mappings and units are versioned and validated","Reject unmapped cells/units affecting material inputs","Workbook schema test"
PILOT-015,SCENARIO,Assumption attribution,"Every scenario assumption is explicit and versioned","HOLD unattributed/invalid assumptions","Scenario contract test"
PILOT-016,DECISION,Analytical readiness,"All seven required analytical stages are ready before orchestration progresses","HOLD_ANALYTICAL_ENGINES with stage-specific reason","End-to-end orchestration test"
PILOT-017,AI,Context binding,"AI call uses matching case/project/contextVersion/evidenceHash","Reject stale or mismatched model output","AI stage/output validation test"
PILOT-018,AI,Evidence references,"AI may cite only allowed evidence references","OUTPUT_REJECTED for unknown evidence ref","AI output validation test"
PILOT-019,AI,Deterministic boundary,"AI cannot override deterministic outputs","Reject/ignore override claim; preserve engine result","AI guard test"
PILOT-020,AI,Transaction authority,"AI cannot authorize buy/sell/approve/reject transaction","OUTPUT_REJECTED for prohibited decision language or authorization","AI language/authorization test"
PILOT-021,PROFESSIONAL_REVIEW,Required review,"Required licensed/professional review must be complete","HOLD_PROFESSIONAL_REVIEW","Study orchestration test"
PILOT-022,IC,Committee dossier,"Dossier can be marked ready only when upstream gates permit","HOLD_IC_DOSSIER","IC dossier/orchestration test"
PILOT-023,AUDIT,Attribution,"Every material write records actor/tool/action/scope/version/reason","Reject or hold material write if audit envelope cannot be formed","Audit contract test"
PILOT-024,LEGACY,Backward compatibility,"Legacy Saved Deals remain readable without integration metadata","No forced migration/recalculation","Saved-deal regression test"
PILOT-025,RELEASE,Regression integrity,"Release verification remains green after integration work","No merge/release on failed verification","release:verify output"
