inventory_id,surface,component,subsurface,string_kind,current_text,dynamic_or_static,trigger_condition,semantic_owner,semantic_code,raw_or_display,source_producer,source_consumer,locale_strategy,user_content_exception,implementation_status,notes
R6-DEAL-001,SAVED_DEALS,DealsPanel,header,static,الصفقات,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-DEAL-002,SAVED_DEALS,DealsPanel,section_label,static,الدراسات المرجعية,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-DEAL-003,SAVED_DEALS,DealsPanel,builtin_deal_name,static,مبنى أبو بكر الصديق,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,"App-owned illustrative label, not tied to onLoadBuiltIn('building') string arg -- safe to translate"
R6-DEAL-004,SAVED_DEALS,DealsPanel,builtin_deal_name,static,أرض الوادي,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,"same as R6-DEAL-003, for Land"
R6-DEAL-005,SAVED_DEALS,DealsPanel,section_label,static,صفقاتي المحفوظة,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-DEAL-006,SAVED_DEALS,DealsPanel,loading_state,static,جاري التحميل...,static,dealsLoading===true,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-DEAL-007,SAVED_DEALS,DealsPanel,empty_state,static,لا توجد صفقات محفوظة بعد,static,savedDeals.length===0,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-DEAL-008,SAVED_DEALS,DealsPanel,deal_name,dynamic,{d.name},dynamic,per saved deal,EXCLUDED-USER-CONTENT,,USER_CONTENT,user save action,DealsPanel render,USER_CONTENT,TRUE,N/A,"user-entered deal name, MUST NOT be translated"
R6-DEAL-009,SAVED_DEALS,DealsPanel,section_label,static,حفظ الوضع الحالي كصفقة جديدة,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-DEAL-010,SAVED_DEALS,DealsPanel,placeholder,static,اسم الصفقة...,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX attr,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-DEAL-011,SAVED_DEALS,DealsPanel,button,static,حفظ,static,always,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
R6-DEAL-012,SAVED_DEALS,DealsPanel,button,static,تحديث الصفقة الحالية بالتعديلات,static,activeDealId!=null,R6-SAVED-DEALS,,DISPLAY_ONLY,JSX literal,DealsPanel render,NEW_KEY_REQUIRED,FALSE,LOCALIZED_R6A,
