path,change_type,reason,requirement_refs,behavior_change,test_status
src/engines/financial/index.js,CREATED,extraction of shared NPV/IRR/amortization primitives (source lines 92-138),"item 7,item 8",NONE,PASS (dual-path 0 mismatches)
src/engines/recommendation/index.js,CREATED,extraction of shared tierVerdict (source lines 140-145),"item 7,item 8",NONE,PASS (dual-path 0 mismatches)
src/engines/valuation/existing-building.js,CREATED,verbatim extraction of calcExistingBuilding + VACANCY_MONTHS_MAP (source lines 147-259); require() wiring added to reach financial/recommendation modules,"item 7,item 8",NONE,PASS (dual-path 0 mismatches)
src/engines/valuation/land-development.js,CREATED,verbatim extraction of calcLandDevelopment (source lines 264-383); require() wiring added,"item 7,item 8",NONE,PASS (dual-path 0 mismatches)
tests/characterization/run_dual_path.js,CREATED,transitional equivalence test proving legacy line-extraction path and new modular engine path produce identical output before the legacy loader may ever be retired,"item 4/5 (test infra), Section 6",NONE,"PASS (this IS the equivalence proof, 0 mismatches across all 4 fixtures)"
platform-source.jsx,UNCHANGED,canonical source untouched -- SHA256 verified identical before/after this pass,N/A,NONE,N/A -- not modified
src/engines/index.js,CREATED,"unified production entrypoint (calculateInvestmentCase) -- pure dispatch, zero formula logic, verified against RE-GOLD directly (NOI match confirmed)","item 7,item 8,Section 11",NONE,PASS (triple-path 0 mismatches)
src/engines/valuation/index.js,CREATED,"selector facade -- reshapes valuation fields from engine result, zero recalculation (verified: value-identity check, not just numeric equality)","Section 2,Section 10",NONE,PASS (field-identity verified)
src/engines/financing/index.js,CREATED,"selector facade -- reshapes financing fields, zero recalculation","Section 2,Section 10",NONE,PASS (field-identity verified)
src/engines/financial/selectors.js,CREATED,"selector facade -- cashflow/IRR/NPV view, zero recalculation",Section 10,NONE,PASS
src/engines/recommendation/selectors.js,CREATED,"selector facade -- criteria/verdict view, zero recalculation",Section 10,NONE,PASS
tests/characterization/run_triple_path.js,CREATED,"Section 12 requirement -- legacy vs gold, modular vs gold, legacy vs modular, all through the production entrypoint",Section 12,NONE,"PASS (0/0/0 mismatches, 204 fields)"
src/contracts/study-type.js,CREATED,"canonical StudyType contract, moved from src/engines/index.js","item 3,WB-08",NONE,PASS
src/contracts/study-level.js,CREATED,canonical StudyLevel contract,"item 4,WB-09",NONE,PASS
src/contracts/calculation-versions.js,CREATED,"metadata-only version contract, verified unreferenced by any engine file","item 5,WB-10",NONE,PASS
