wave_id,file_path,change_type,change_summary
R4-A,src/i18n/locales/ar-SA.js,MODIFIED,"Added cashFlow section (16 keys: section title, 2 conditional descriptions, 2 view-toggle buttons, 3 KPIChip labels, table eyebrow+title, 3 table columns, 2 chart tick templates, 1 tooltip year template)"
R4-A,src/i18n/locales/en.js,MODIFIED,"Added cashFlow section (16 keys, exact parity with ar-SA)"
R4-A,src/app/App.jsx,MODIFIED,"CashFlowTab/CashFlowTable/CashFlowChart/CashFlowTooltip: added useLocale() to all 4 components; replaced 9+5+2+2=18 hardcoded strings/formatters with t() calls; added local formatSigned() helper (numerically identical to global fmtSARSigned) inside CashFlowTable and CashFlowTooltip independently -- zero global formatter changes"
R4-A,tests/i18n/run_r4a_cashflow_table.js,CREATED,"Permanent test: table header/column key parity + signed-currency numeric preservation, 9/9 PASS"
R4-A,tests/i18n/run_r4a_cashflow_chart.js,CREATED,"Permanent test: X/Y axis tick formatter parity + exact numeric transform preservation, 7/7 PASS"
R4-A,tests/i18n/run_r4a_cashflow_tooltip.js,CREATED,"Permanent test: tooltip year template + raw payload non-mutation, 3/3 PASS"
R4-A,tests/i18n/run_r4a_cashflow_full_closure.js,CREATED,"Aggregate test: source purity audit + cash-flow array length/sign invariance + Scenarios non-applicability confirmation, 11/11 PASS"
R4-A,I18N_R4A_CASHFLOW_INVENTORY.csv,CREATED,"18-row authoritative inventory across 4 components, all LOCALIZED, 0 unclassified"
R4-A,I18N_R4A_CASHFLOW_FINAL_REPORT.md,CREATED,"Final R4-A report with chart rendering and tooltip interaction proof"
R4-B,src/i18n/locales/ar-SA.js,MODIFIED,"Added sensitivity section (15 keys: 2 section eyebrows, 2 dynamic titles, 2 descriptions, range note, tooltip range, 7 variable labels)"
R4-B,src/i18n/locales/en.js,MODIFIED,"Added sensitivity section (15 keys, exact parity)"
R4-B,src/app/App.jsx,MODIFIED,"buildSensitivityData signature changed to accept t parameter (computes localized label at build time, since YAxis dataKey=label requires the actual string); SensitivityTab/SensitivityChart/SensitivityTooltip: added useLocale(), replaced 9+2+1=12 hardcoded strings; irrKindLabel reuses existing kpi.irrLevered/irrUnlevered keys"
R4-B,tests/characterization/run_sensitivity_path.js,MODIFIED,"Fixed pre-existing test's call to buildSensitivityData for new 3-arg signature (identity-function passthrough) -- zero change to the test's actual canonical-engine-reuse assertion"
R4-B,tests/i18n/run_r4b_sensitivity_data.js,CREATED,"Permanent test: d.label PRESENTATION_ONLY role proof + raw-field invariance across locale + sort-order invariance, 10/10 PASS"
R4-B,tests/i18n/run_r4b_sensitivity_metricrow.js,CREATED,"Permanent test: MR-S01 (deferred from R2B-0) key parity + raw value preservation, 5/5 PASS"
R4-B,tests/i18n/run_r4b_sensitivity_chart.js,CREATED,"Permanent test: chart X/Y axis + tooltip key parity + raw point invariance, 5/5 PASS"
R4-B,tests/i18n/run_r4b_sensitivity_boundary.js,CREATED,"Permanent test: SENS-OCC 5/5 preservation + boundaryReason no-UI-mapping-needed confirmation, 7/7 PASS"
R4-B,tests/i18n/run_r4b_sensitivity_full_closure.js,CREATED,"Aggregate test: source purity + R4-A scope isolation + engine/recommendation/Forward-NOI invariance, 9/9 PASS"
R4-B,I18N_R4B_SENSITIVITY_INVENTORY.csv,CREATED,"20-row authoritative inventory across 4 components"
R4-B,I18N_R4B_SENSITIVITY_FINAL_REPORT.md,CREATED,"Final R4-B report including 2 self-caught test-authoring errors"
