domain,semantic_field_group,preferred_source_class,allowed_secondary_sources,verification_required,canonical_writer,fail_closed_condition,notes
CASE,case_identity,SYSTEM_CALCULATED,OWNER_SUPPLIED,YES,STARTAK_CASE_SERVICE,SCOPE_MISMATCH_OR_MISSING_ID,"caseId/projectId are mandatory scope anchors"
PROPERTY,ownership_and_title,OFFICIAL_PRIMARY,"PROFESSIONAL_PRIMARY;OWNER_SUPPLIED",YES,APPROVED_EVIDENCE_PROMOTION,"MISSING_OR_CONFLICTING_TITLE_EVIDENCE","Uploaded file location never proves authority"
PROPERTY,parcel_and_area,OFFICIAL_PRIMARY,"PROFESSIONAL_PRIMARY;OWNER_SUPPLIED",YES,APPROVED_EVIDENCE_PROMOTION,"UNIT_MISMATCH_OR_MATERIAL_CONFLICT","Preserve source units; no silent conversion"
PROPERTY,building_attributes,PROFESSIONAL_PRIMARY,"OFFICIAL_PRIMARY;OWNER_SUPPLIED",CONDITIONAL,APPROVED_CANONICAL_INPUT,"MATERIAL_CONFLICT_OR_STALE_SOURCE","Physical attributes may require inspection/engineering review"
TENANT,tenant_identity,CONTRACTUAL_PRIMARY,"OFFICIAL_PRIMARY;OWNER_SUPPLIED",YES,APPROVED_CANONICAL_INPUT,"IDENTITY_CONFLICT_OR_UNVERIFIED_MATERIAL_TENANT","Tenant legal identity must be attributable"
TENANT,lease_economics,CONTRACTUAL_PRIMARY,"OWNER_SUPPLIED;PROFESSIONAL_PRIMARY",YES,APPROVED_CANONICAL_INPUT,"MISSING_EXECUTED_LEASE_OR_MATERIAL_CONFLICT","Rent-roll may corroborate but does not automatically supersede lease"
TENANT,payment_performance,CONTRACTUAL_PRIMARY,"OWNER_SUPPLIED;SYSTEM_CALCULATED",YES,APPROVED_CANONICAL_INPUT,"INSUFFICIENT_PERIOD_OR_CONFLICT","Bank/accounting evidence policy to be defined before connector implementation"
REGULATORY,zoning_and_land_use,OFFICIAL_PRIMARY,"PROFESSIONAL_PRIMARY",YES,APPROVED_EVIDENCE_PROMOTION,"MISSING_OR_STALE_REGULATORY_EVIDENCE","Jurisdiction and effective date required"
REGULATORY,permits_and_licenses,OFFICIAL_PRIMARY,"PROFESSIONAL_PRIMARY;OWNER_SUPPLIED",YES,APPROVED_EVIDENCE_PROMOTION,"MISSING_REQUIRED_PERMIT_OR_SCOPE_CONFLICT","Permit validity must match property/case scope"
MARKET,market_rent,MARKET_OBSERVED,"PROFESSIONAL_PRIMARY;OWNER_SUPPLIED",CONDITIONAL,MARKET_EVIDENCE_ADAPTER,"INSUFFICIENT_COMPARABLES_OR_STALE_OBSERVATIONS","Comparable identity/date/source required"
MARKET,transaction_comparables,MARKET_OBSERVED,"PROFESSIONAL_PRIMARY",YES,MARKET_EVIDENCE_ADAPTER,"MISSING_COMPARABLE_EVIDENCE_OR_UNRESOLVED_OUTLIER","No fabricated comparables"
VALUATION,method_inputs,"PROFESSIONAL_PRIMARY;CONTRACTUAL_PRIMARY;MARKET_OBSERVED","OWNER_SUPPLIED",YES,VALUATION_INPUT_ADAPTER,"CRITICAL_EVIDENCE_HOLD_OR_POLICY_HOLD","Method-specific critical evidence policy governs readiness"
VALUATION,valuation_output,SYSTEM_CALCULATED,PROFESSIONAL_PRIMARY,YES,VALUATION_ENGINE,"METHOD_HOLD_OR_RECONCILIATION_HOLD","Deterministic engine output; external appraisal remains separate evidence"
FINANCIAL,income_and_opex,"CONTRACTUAL_PRIMARY;PROFESSIONAL_PRIMARY;OWNER_SUPPLIED",OWNER_SUPPLIED,YES,FINANCIAL_INPUT_ADAPTER,"MISSING_MATERIAL_INPUT_OR_CONFLICT","Canonical write requires evidence linkage or explicit assumption"
FINANCIAL,financing_terms,CONTRACTUAL_PRIMARY,"OWNER_SUPPLIED",YES,FINANCIAL_INPUT_ADAPTER,"MISSING_TERM_SOURCE_OR_SCOPE_MISMATCH","Indicative vs binding terms must be explicit"
FINANCIAL,calculated_metrics,SYSTEM_CALCULATED,NONE,YES,FINANCIAL_ENGINE,"INVALID_INPUT_OR_ENGINE_HOLD","IRR/NPV/DSCR and related metrics are engine-owned"
SCENARIO,scenario_assumptions,OWNER_SUPPLIED,"MARKET_OBSERVED;PROFESSIONAL_PRIMARY",YES,SCENARIO_INPUT_ADAPTER,"UNATTRIBUTED_ASSUMPTION_OR_INVALID_RANGE","Assumptions must be explicit and versioned"
SCENARIO,stress_outputs,SYSTEM_CALCULATED,NONE,YES,SCENARIO_RISK_ENGINE,"ENGINE_HOLD","Scenario calculations are deterministic"
DECISION,threshold_policy,OWNER_SUPPLIED,"CONTRACTUAL_PRIMARY;PROFESSIONAL_PRIMARY",YES,DECISION_THRESHOLD_ADMIN,"MISSING_POLICY_VERSION_OR_UNAUTHORIZED_CHANGE","Thresholds are governance policy, not AI-generated values"
DECISION,decision_quality,SYSTEM_CALCULATED,NONE,YES,DECISION_QUALITY_ENGINE,"UPSTREAM_HOLD","Derived from evidence/analytical readiness"
