stable_id,source_file,source_location,occurrence_type,is_executable_call,study_type,section,r2b_wave,label_current,value_expression,formatter,subtext,financing_dependency,requires_translation,implementation_status
MR-B01,App.jsx,628,JSX_CALL_SITE,TRUE,building,areas,R2B-1,مساحة الأرض,fmtNum+م²,fmtNum+م²,none,FALSE,TRUE,LOCALIZED_R2B1
MR-B02,App.jsx,629,JSX_CALL_SITE,TRUE,building,areas,R2B-1,إجمالي مساحة الأقبية,fmtNum+م²,fmtNum+م²,fmtNum+موقف سيارة,FALSE,TRUE,LOCALIZED_R2B1
MR-B03,App.jsx,630,JSX_CALL_SITE,TRUE,building,areas,R2B-1,إجمالي المساحة الإنشائية للأدوار,fmtNum+م²,fmtNum+م²,none,FALSE,TRUE,LOCALIZED_R2B1
MR-B04,App.jsx,631,JSX_CALL_SITE,TRUE,building,areas,R2B-1,المساحة التأجيرية الصافية المعتمدة,fmtNum+م²,fmtNum+م²,fmtNum+م²/دور بالمتوسط,FALSE,TRUE,LOCALIZED_R2B1
MR-B05,App.jsx,632,JSX_CALL_SITE,TRUE,building,areas,R2B-1,معامل البناء إلى مساحة الأرض,fmtX,fmtX,none,FALSE,TRUE,LOCALIZED_R2B1
MR-B06,App.jsx,633,JSX_CALL_SITE,TRUE,building,areas,R2B-1,الفحص المنطقي للمساحات,ternary سليم✓/تعارض✗,ternary سليم✓/تعارض✗,none,FALSE,TRUE,LOCALIZED_R2B1
MR-B07,App.jsx,637,JSX_CALL_SITE,TRUE,building,purchase_cost,R2B-1,قيمة شراء المبنى,fmtSAR,fmtSAR,none,FALSE,TRUE,LOCALIZED_R2B1
MR-B08,App.jsx,638,JSX_CALL_SITE,TRUE,building,purchase_cost,R2B-1,قيمة السعي (العمولة),fmtSAR,fmtSAR,none,FALSE,TRUE,LOCALIZED_R2B1
MR-B09,App.jsx,639,JSX_CALL_SITE,TRUE,building,purchase_cost,R2B-1,رسوم التصرفات العقارية,fmtSAR,fmtSAR,none,FALSE,TRUE,LOCALIZED_R2B1
MR-B10,App.jsx,640,JSX_CALL_SITE,TRUE,building,purchase_cost,R2B-1,الفحص الفني + التقييم,fmtSAR,fmtSAR,none,FALSE,TRUE,LOCALIZED_R2B1
