stable_id,file,change_type,description
N/A,src/i18n/locales/ar-SA.js,MODIFIED,"Added metricRow section (23 keys) + 3 new unit keys (squareMeters, sarPerSquareMeter, parkingSpots)"
N/A,src/i18n/locales/en.js,MODIFIED,"Added metricRow section (23 keys) + 3 new unit keys (squareMeters, sarPerSquareMeter, parkingSpots)"
N/A,src/app/App.jsx,MODIFIED,"Added formatMetricArea/formatMetricCurrencyPerArea local helpers inside DashboardTab; replaced 23 MetricRow call sites (MR-B01..B12, MR-L01..L11) label/value/note props with t() calls -- zero other call sites touched"
N/A,tests/i18n/run_metricrow_r2b1_property_cost.js,CREATED,"Permanent test: 23 key parity + interpolation + unit + engine invariance checks, 11/11 PASS"
N/A,I18N_R2B_METRICROW_INVENTORY.csv,MODIFIED,"implementation_status set to LOCALIZED_R2B1 for exactly the 23 authorized rows"
N/A,src/i18n/locales/ar-SA.js,MODIFIED,"Added metricRowR2B2 section (33 keys) -- accidentally-embedded unit fixed before completion (maxJustifiedLandPriceNote)"
N/A,src/i18n/locales/en.js,MODIFIED,"Added metricRowR2B2 section (33 keys)"
N/A,src/app/App.jsx,MODIFIED,"Added formatMetricCurrencySigned local helper (discovered fmtSARSigned mid-wave, same NUMERIC_PLUS_LANGUAGE_OWNED_UNIT pattern as fmtSAR); replaced 30 MetricRow call sites (MR-B13..B31, MR-L12..L22)"
N/A,tests/i18n/run_metricrow_r2b2_income_valuation.js,CREATED,"Permanent test: 33 key parity + interpolation + engine invariance, 9/9 PASS"
N/A,I18N_R2B_METRICROW_INVENTORY.csv,MODIFIED,"implementation_status set to LOCALIZED_R2B2 for exactly 30 rows"
N/A,src/i18n/locales/ar-SA.js,MODIFIED,"Added metricRowR2B3 section (10 keys)"
N/A,src/i18n/locales/en.js,MODIFIED,"Added metricRowR2B3 section (10 keys)"
N/A,src/app/App.jsx,MODIFIED,"Replaced final 13 MetricRow call sites (MR-B32..B37, MR-L23..L29); zero direct fmtSAR/fmtYears calls remain anywhere in DashboardTab"
N/A,tests/i18n/run_metricrow_r2b3_financing.js,CREATED,"Permanent test: 10 key parity + note-distinctness + interpolation + financing engine invariance, 11/11 PASS"
N/A,I18N_R2B_METRICROW_INVENTORY.csv,MODIFIED,"implementation_status set to LOCALIZED_R2B3 for exactly 13 rows -- all 66 Dashboard MetricRows now closed"
R2B-3V,tests/i18n/run_metricrow_r2b3_financing.js,MODIFIED,"Added OFF-state documentation check (12th assertion); corrected AR_LEVERAGE_OFF/EN_LEVERAGE_OFF classification from unverified to explicitly browser-confirmed for both studies"
R2B-4,tests/i18n/run_metricrow_full_closure.js,CREATED,"Aggregate closure test: inventory reconciliation (CRLF parsing bug caught and fixed mid-development) + fresh source audit (67/66 calls, 0 hardcoded, 0 direct formatters, 0 scattered conditionals) + dictionary parity across all 3 sections + full engine invariance, 19/19 PASS"
