tool,role,read_scope,write_scope,production_authority,required_controls,prohibited_actions,phase
GitHub,"Code, tests, CI/CD, architecture-as-code","Repository source, tests, workflows","Repository branches/PRs under review workflow","TECHNICAL_SOURCE_OF_TRUTH","Branch isolation; PR review; CI; release verification; audit trail","Direct unreviewed production logic changes; bypass release gates",NOW
OpenAI Platform,"Bounded AI analysis and structured interpretation","Curated canonical case context; deterministic outputs; qualified evidence refs","Validated AI interpretation objects only","NON_AUTHORITATIVE_ANALYSIS","caseId/projectId; contextVersionId; evidenceHash; structured schema; output validation; no transaction authorization","Write canonical financial/valuation inputs; verify evidence; override gates; authorize transaction",NOW
Data Analytics,"Validation, sensitivity, anomaly and portfolio analytics","Controlled canonical exports/snapshots","Derived analysis artifacts; production writes only through approved adapter","ANALYTICAL_WORKBENCH","Versioned datasets; reproducible logic; source lineage; controlled export/import","Become hidden production calculation engine; silent canonical writes",NOW
Spreadsheets,"Transparent modelling, schedules, imports/exports","Controlled case workbook snapshots","Proposed imports/exports via explicit schema mapping","CONTROLLED_INTERCHANGE","Workbook version; cell/range mapping; unit validation; import diff; human approval","Silent overwrite of canonical state; hidden formulas as production authority",NOW
Google Drive,"Document repository and source carrier","Case-scoped source documents","Document ingestion proposals only","SOURCE_CARRIER_NOT_AUTHORITY","File identity; content hash; case scope; provenance; duplicate detection","Treat filename/folder as proof of authenticity; direct underwriting writes",NEXT
Airtable,"Operational workflow and structured case/task records","Approved operational case data","Operational workflow state under schema/authorization","OPERATIONAL_SYSTEM_ONLY","Role-based access; canonical IDs; write contract; audit; no authoritative evidence promotion","Supersede verified facts; calculate authoritative valuation/financial metrics",LATER
Aleph,"Governed cross-system enterprise data layer","Approved ERP/CRM/finance/warehouse sources","Governed normalized enterprise views; proposed writes only if explicitly designed","FEDERATED_DATA_ACCESS","Source ownership; lineage; reconciliation; connector-level authorization; data contracts","Create duplicate source-of-truth; bypass STARTAK evidence/decision gates",LATER
Notion,"Policies, SOPs, methodology and knowledge base","Governance documentation","Governance documentation only","DOCUMENTATION_SOURCE","Version control policy; approved document ownership","Store authoritative transaction/evidence state without controlled contract",SUPPORT
Figma,"Product/UX design","Design requirements and approved product states","Design artifacts only","NO_RUNTIME_AUTHORITY","Design review; component/version discipline","Write runtime data or production decision state",SUPPORT
Adobe Acrobat,"PDF review, preparation and document handling","Documents and reports","Derived PDF/report artifacts","NO_DOMAIN_AUTHORITY","Preserve source identity; avoid destructive transformation of evidence originals","Transform a source document and present derivative as original evidence",SUPPORT
Quartr,"Public-company research for listed counterparties/REITs/developers","Public-company filings, transcripts and financial disclosures","Research notes/evidence proposals","EXTERNAL_RESEARCH_SOURCE","Source/date/citation; issuer identity; evidence classification","Treat commentary as verified property-level fact",SPECIALIST
Gmail,"Communication and document-request workflow","Authorized messages/attachments","Draft/send operational communications when explicitly authorized","COMMUNICATION_ONLY","Recipient authorization; case linkage; attachment provenance; audit where material","Treat email statement as verified fact without evidence promotion",LATER
Google Calendar,"Meetings, inspections and committee scheduling","Authorized calendar events","Scheduling only","WORKFLOW_ONLY","Attendee authorization; case linkage where relevant","Change investment decision state",LATER
Zoom,"Meeting evidence/supporting records","Authorized meeting metadata/transcripts if enabled","Meeting notes/transcript evidence proposals","SUPPORTING_SOURCE","Consent; source/date; participant attribution; evidence classification","Promote transcript statements directly to verified fact",LATER
